time,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,gamma1_deg,gamma2_deg,varpi1_rpm,varpi2_rpm,euler_roll_deg,euler_pitch_deg,euler_yaw_deg
0.300032512,1.0,4.064476492019956e-20,0.0,0.0,-1.7237766598990187e-17,0.0,0.0,0.0,0.0,580.116618,-580.116618,4.657546978457634e-18,0.0,0.0
0.310062752,1.0,-4.554406807475137e-20,0.0,0.0,-1.7237766598990187e-17,0.0,0.0,0.0,0.0,600.065024,-600.065024,-5.218965765079532e-18,0.0,0.0
0.320068151,1.0,-1.3173290106970233e-19,0.0,0.0,-1.7237766598990187e-17,0.0,0.0,0.0,0.0,620.125504,-620.125504,-1.5095478508616703e-17,0.0,0.0
0.330074138,1.0,-2.1566335593657418e-19,0.0,0.0,-1.6108577535213563e-17,0.0,0.0,0.0,0.0,640.1363020000001,-640.1363020000001,-2.4713200181586695e-17,0.0,0.0
0.340077875,1.0,-2.962062436126419e-19,0.0,0.0,-1.6108577535213563e-17,0.0,0.0,0.0,0.0,660.1482759999999,-660.1482759999999,-3.394273524885656e-17,0.0,0.0
0.350053741,1.0,-3.7674913128713227e-19,0.0,0.0,-1.6108577534161925e-17,0.0,0.0,0.0,0.0,680.1557499999999,-680.1557499999999,-4.317227031594567e-17,0.0,0.0
0.360119284,1.0,-4.550336408282854e-19,0.0,0.0,-1.4979388469333663e-17,0.0,0.0,0.0,0.0,700.107482,-700.107482,-5.214301431186507e-17,0.0,0.0
0.370053098,1.0,-5.276722050452971e-19,0.0,0.0,-1.3850199404505401e-17,0.0,0.0,0.0,0.0,720.238568,-720.238568,-6.046678063091462e-17,0.0,0.0
0.380172526,1.0,-5.946648239397448e-19,0.0,0.0,-1.2721010340728779e-17,0.0,0.0,0.0,0.0,740.1061960000001,-740.1061960000001,-6.814356927327507e-17,0.0,0.0
0.390016272,1.0,-6.560114975121547e-19,0.0,0.0,-1.1591821274848878e-17,0.0,0.0,0.0,0.0,760.3450519999999,-760.3450519999999,-7.517338023900673e-17,0.0,0.0
0.400051206,1.0,-7.111476312243286e-19,0.0,0.0,-1.0462632210020616e-17,0.0,0.0,0.0,0.0,780.032544,-780.032544,-8.149151575975982e-17,0.0,0.0
0.410135036,1.0,-7.606378196123611e-19,0.0,0.0,-9.333443145192354e-18,0.0,0.0,0.0,0.0,800.102412,-800.102412,-8.716267360364305e-17,0.0,0.0
0.420172708,1.0,-8.095634134695573e-19,0.0,0.0,-1.0462632211072255e-17,0.0,0.0,0.0,0.0,820.2700719999999,-820.2700719999999,-9.276913368002011e-17,0.0,0.0
0.430101633,1.0,-8.618765745249189e-19,0.0,0.0,-1.0462632211072255e-17,0.0,0.0,0.0,0.0,840.345416,-840.345416,-9.876378036294084e-17,0.0,0.0
0.440172652,1.0,-9.141897355802803e-19,0.0,0.0,-1.0462632211072255e-17,0.0,0.0,0.0,0.0,860.203266,-860.203266,-1.0475842704586154e-16,0.0,0.0
0.450005837,1.0,-9.665028966377449e-19,0.0,0.0,-1.0462632212123895e-17,0.0,0.0,0.0,0.0,880.3453039999999,-880.3453039999999,-1.1075307372902325e-16,0.0,0.0
0.460088885,1.0,-1.0188160576983642e-18,0.0,0.0,-1.0462632212123895e-17,0.0,0.0,0.0,0.0,900.011674,-900.011674,-1.1674772041254646e-16,0.0,0.0
0.469983191,1.0,-1.0739521914231574e-18,0.0,0.0,-1.1591821278003796e-17,0.0,0.0,0.0,0.0,920.1777699999999,-920.1777699999999,-1.2306585593474562e-16,0.0,0.0
0.480059002,1.0,-1.1285237306186911e-18,0.0,0.0,-1.0462632213175534e-17,0.0,0.0,0.0,0.0,939.9663820000002,-939.9663820000002,-1.2931929368961928e-16,0.0,0.0
0.490112125,1.0,-1.1808368916845682e-18,0.0,0.0,-1.0462632213175534e-17,0.0,0.0,0.0,0.0,960.1180039999999,-960.1180039999999,-1.35313940373745e-16,0.0,0.0
0.500094543,1.0,-1.235973025412516e-18,0.0,0.0,-1.1591821278003796e-17,0.0,0.0,0.0,0.0,980.22425,-980.22425,-1.4163207589630563e-16,0.0,0.0
0.510020534,1.0,-1.2967551044646056e-18,0.0,0.0,-1.2721010342832058e-17,0.0,0.0,0.0,0.0,1000.189086,-1000.189086,-1.4859718909573617e-16,0.0,0.0
0.52012451,1.0,-1.3603601561761376e-18,0.0,0.0,-1.2721010341780418e-17,0.0,0.0,0.0,0.0,1020.0410680000001,-1020.0410680000001,-1.5588579113330043e-16,0.0,0.0
0.529990945,0.9999999999948542,3.208052089235302e-06,0.0,0.0,-4.191581622964055e-18,0.0,0.0,0.0,0.0,1040.24902,-1040.24902,0.0003676156903432485,0.0,0.0
0.540145969,0.9999999999948542,3.2080520894553984e-06,0.0,0.0,-1.9332034922558905e-18,0.0,0.0,0.0,0.0,1059.98189,-1059.98189,0.00036761569036846965,0.0,0.0
0.55013269,0.9999999999948542,3.2080520896755e-06,0.0,0.0,-1.93320349330753e-18,0.0,0.0,0.0,0.0,1080.291938,-1080.291938,0.00036761569039369144,0.0,0.0
0.560050956,0.9999999999948542,3.2080520898956014e-06,0.0,0.0,-1.9332034922558905e-18,0.0,0.0,0.0,0.0,1100.2653799999998,-1100.2653799999998,0.00036761569041891324,0.0,0.0
0.570050194,0.9999999999948542,3.208052090115703e-06,0.0,0.0,-1.933203491204251e-18,0.0,0.0,0.0,0.0,1120.101912,-1120.101912,0.000367615690444135,0.0,0.0
0.580056866,0.9999999999948542,3.2080520903358095e-06,0.0,0.0,3.2517463845227383e-19,0.0,0.0,0.0,0.0,1140.100388,-1140.100388,0.00036761569046935737,0.0,0.0
0.59004877,0.9999999999948542,3.2080520905559195e-06,0.0,0.0,3.251746395039131e-19,0.0,0.0,0.0,0.0,1160.1137319999998,-1160.1137319999998,0.0003676156904945801,0.0,0.0
0.600059059,0.9999999999948542,3.2080520907760345e-06,0.0,0.0,1.4543637064354544e-18,0.0,0.0,0.0,0.0,1180.09754,-1180.09754,0.00036761569051980346,0.0,0.0
0.610079421,0.9999999999948542,3.208052090996153e-06,0.0,0.0,1.4543637053838152e-18,0.0,0.0,0.0,0.0,1200.118118,-1200.118118,0.00036761569054502715,0.0,0.0
0.62008355,0.9999999999948542,3.2080520912162714e-06,0.0,0.0,1.4543637064354544e-18,0.0,0.0,0.0,0.0,1220.158842,-1220.158842,0.00036761569057025084,0.0,0.0
0.630079659,0.9999999999948542,3.208052091436385e-06,0.0,0.0,3.2517464160719167e-19,0.0,0.0,0.0,0.0,1240.1671000000001,-1240.1671000000001,0.000367615690595474,0.0,0.0
0.640048875,0.9999999999948542,3.2080520916565e-06,0.0,0.0,1.4543637043321757e-18,0.0,0.0,0.0,0.0,1260.1593179999998,-1260.1593179999998,0.0003676156906206973,0.0,0.0
0.650172605,0.9999999999948542,3.208052091876621e-06,0.0,0.0,2.5835527702120776e-18,0.0,0.0,0.0,0.0,1280.0977499999997,-1280.0977499999997,0.0003676156906459213,0.0,0.0
0.660073072,0.9999999999948542,3.2080520920967436e-06,0.0,0.0,2.5835527702120776e-18,0.0,0.0,0.0,0.0,1300.3452100000002,-1300.3452100000002,0.00036761569067114556,0.0,0.0
0.670110157,0.9999999999948542,3.2080520923168662e-06,0.0,0.0,2.583552771263717e-18,0.0,0.0,0.0,0.0,1320.146144,-1320.146144,0.00036761569069636974,0.0,0.0
0.68002099,0.9999999999948542,3.208052092536989e-06,0.0,0.0,2.5835527691604386e-18,0.0,0.0,0.0,0.0,1340.2203139999997,-1340.2203139999997,0.0003676156907215939,0.0,0.0
0.690158607,0.9999999999948542,3.2080520927571146e-06,0.0,0.0,3.7127418339887e-18,0.0,0.0,0.0,0.0,1360.0419800000004,-1360.0419800000004,0.0003676156907468185,0.0,0.0
0.70016254,0.9999999999948542,3.2080520929772385e-06,0.0,0.0,2.5835527702120776e-18,0.0,0.0,0.0,0.0,1380.317214,-1380.317214,0.0003676156907720428,0.0,0.0
0.71009968,0.9999999999948542,3.2080520931973612e-06,0.0,0.0,2.5835527702120776e-18,0.0,0.0,0.0,0.0,1400.32508,-1400.32508,0.00036761569079726706,0.0,0.0
