,Star ID,RA,DE,Magnitude
0,88,0.00469656652351781,-0.8518930367088428,5.71
1,107,0.0058264363071240995,-0.8785529014140822,5.53
2,122,0.006959771616493148,-1.345050632436262,4.78
3,124,0.007055165902886478,1.0685394512526185,5.58
4,145,0.007959314348727443,-0.052839909775705754,5.13
5,154,0.00855349214488129,-0.10496535994639551,4.37
6,171,0.009465151091559437,0.4726745365915882,5.8
7,183,0.010175318059280148,-0.5187190797048838,5.04
8,194,0.01088665666652772,0.14809926947695193,5.7
9,207,0.011350965385705293,1.153644592005379,5.87
10,301,0.016318088835609985,-0.30257006462477193,4.55
11,330,0.01844685523056148,1.0871248149399535,5.9
12,343,0.018892755787585345,-0.28848610352226606,5.78
13,355,0.019643571822650852,-0.18342578440005977,4.99
14,377,0.020457308897112933,-1.2468089631922863,5.59
15,379,0.020506250896398584,1.1722756201381974,5.68
16,418,0.022263850511166135,1.0701306560634227,5.8
17,443,0.02328130433578317,-0.09961673003675221,4.61
18,476,0.024868128195632055,0.23380895702695234,5.55
19,518,0.027329980729949934,1.0199133923408297,5.98
20,522,0.02757441583702099,-0.8565236659149507,5.7
21,531,0.028109971165193003,1.1204345094099315,5.57
22,636,0.03395392097869624,-0.39284847804297046,5.93
23,655,0.03516019359750613,-0.5851971355472049,5.67
24,671,0.03618158680477784,-0.15400980988460405,5.99
25,677,0.03659799600983198,0.5077238190529861,2.07
26,729,0.03944623703887215,0.31785872004484506,5.57
27,746,0.04004694847508084,1.0323584058489745,2.28
28,761,0.040802062034363526,-0.4884814975527042,5.42
29,765,0.04106192410669297,-0.798443211154052,3.88
30,813,0.04379338567908096,0.19453113588331725,5.54
31,814,0.04379144958534173,-1.435080344290033,5.29
32,840,0.04500548001814381,-0.09160513539747883,5.84
33,841,0.04503282793125916,0.8041128346893394,5.01
34,873,0.0467482560279754,-0.21956061715030226,5.84
35,910,0.04914972505709617,-0.26996713495220365,4.89
36,930,0.050499652759578,-0.4851969359043714,5.41
37,950,0.05119695211285545,-0.6131886131678873,5.24
38,983,0.05308607851832282,-0.31308200747847686,5.29
39,1067,0.05775242344411187,0.2650037407473117,2.83
40,1074,0.05815014279087103,-1.483424767274409,5.78
41,1086,0.05896597618029768,0.7162023099909202,5.71
42,1096,0.05979533203170294,-0.4541756054485362,5.94
43,1158,0.06309570374506489,-0.1357959027021087,5.13
44,1168,0.0637164780900911,0.35267347685506595,4.79
45,1170,0.06388021161601089,-0.33044084173210464,4.44
46,1191,0.06505094793498678,-0.16702052317509677,5.77
47,1288,0.07045794025855336,-0.5488431149247189,5.66
48,1354,0.07396148906626555,1.0739566872626307,5.74
49,1366,0.07457633889114587,0.6751219019747841,4.61
50,1372,0.07483417097102231,0.8368400902731795,5.86
51,1473,0.0799693055743105,0.6420232757563031,4.51
52,1493,0.08132197955237035,0.5500793789323293,5.88
53,1562,0.08477024557962437,-0.1540064822398522,3.56
54,1599,0.08757626761765758,-1.1322786941957421,4.23
55,1630,0.08904105247115342,0.5399283130956702,5.89
56,1645,0.08987439116391172,0.14294720151472795,5.38
57,1647,0.09010525092552785,-1.215183975009932,5.5
58,1657,0.09057663992188199,0.5744085653374417,5.79
59,1686,0.09215840511942688,0.6626771376996563,5.16
60,1706,0.09372279294627431,-1.351353857090314,5.96
61,1708,0.09389858268306811,-0.5058220531476088,5.18
62,1728,0.09499490566765474,-0.3500785527391273,5.61
63,1921,0.10585838244185379,0.9079187755552276,5.58
64,1960,0.10817445041627938,1.0791555337139997,5.38
65,1982,0.10954927855666648,0.9258410687629767,5.72
66,2006,0.11084356114833743,0.033854019030443785,5.77
67,2021,0.11236080955195067,-1.3483409466898093,2.82
68,2072,0.11433374230477568,-0.7623568420083473,3.93
69,2081,0.11468638293854848,-0.7383786706373424,2.4
70,2159,0.11887935547582143,-0.44588223700083923,5.99
71,2210,0.12186022704178037,-0.5760837423018826,4.86
72,2219,0.12238503236349056,0.312293941055719,5.01
73,2225,0.12316597819196619,0.7748293568440487,5.18
74,2240,0.12410170470543055,-0.6966482121233071,5.42
75,2353,0.13107116429553567,-0.06906847107467007,5.72
76,2355,0.13143529373364266,0.5192626218342459,5.2
77,2377,0.13234923731631168,1.046805801923078,5.94
78,2381,0.1325471429927221,-0.41517334334492423,5.17
79,2383,0.1327990294339687,-0.8415089350340562,5.67
80,2472,0.13707966601984498,-0.8517820126499319,4.76
81,2475,0.13712759293563764,0.5861102240930733,5.88
82,2484,0.13763859985881452,-1.098828189005174,4.36
83,2487,0.13769688652544826,-1.0989563572587941,4.53
84,2497,0.13825607692781786,0.9222237126197955,5.59
85,2505,0.1386343323627588,0.9515934540614976,4.74
86,2548,0.1413558129207534,0.12139573401583377,5.69
87,2568,0.1422069487358943,0.3542026411450813,5.38
88,2578,0.14281920814309879,-1.1001072046782792,5.07
89,2599,0.14398905626401834,1.09836681243914,4.17
90,2611,0.1447455803984025,0.9580982302102348,5.93
91,2661,0.14697435136696646,-0.515889275810463,5.55
92,2711,0.15037703620094248,-0.9140828611650476,5.57
93,2762,0.1537983567880067,-0.06270700076922152,5.2
94,2787,0.1551040246859872,-0.008824552773290298,5.94
95,2802,0.1557107105587584,-0.8377738663812048,5.51
96,2854,0.15768398452345217,0.9454178058199163,5.08
97,2876,0.15906825594229007,1.052891070209207,5.78
98,2900,0.16045691738779558,0.776472321488216,5.14
99,2903,0.16052028069362462,0.2658437602113808,5.89
100,2912,0.16092296794556663,0.5885135677803436,4.34
101,2920,0.16131820857572213,0.9406785251554828,3.69
